group,item,base_kg,low_kg,high_kg,volume_L,confidence_tag,note
G1,Display 9-10in rugged sunlight-readable,0.62,0.5,0.78,0.9,ENGINEERING ESTIMATE,recovery item 1
G1,"Ventilation engine (turbine, blender, valve block)",2.55,2.1,3.05,6.5,ENGINEERING ESTIMATE,T1-class architecture
G1,Acquisition front-end (ECG/NIBP/IBP/temp/SpO2/EtCO2),0.95,0.75,1.2,1.6,ENGINEERING ESTIMATE,Propaq-class
G1,Masimo rainbow SET module (SpHb/PVI/SpOC),0.22,0.15,0.3,0.4,ENGINEERING ESTIMATE,downgraded authority - see decision 6
G1,BEM - dual dissimilar barometric sensors,0.14,0.1,0.2,0.3,ENGINEERING ESTIMATE,"single logical, dual physical"
G1,"Shared compute backbone (AIME host, logging)",0.45,0.35,0.6,0.8,ENGINEERING ESTIMATE,AIME failure must not stop life support
G1,Independent safety MCU + watchdog + HW alarm path,0.18,0.12,0.25,0.3,ENGINEERING ESTIMATE,final technical veto
G1,Comms (internal radios; SATCOM externalised),0.16,0.1,0.25,0.4,ENGINEERING ESTIMATE,recovery item 3
G1,Power electronics + converters + BMS x2,0.75,0.6,0.95,1.4,ENGINEERING ESTIMATE,independent BMS per battery
G1,Structure - external chassis AS primary frame,1.95,1.6,2.4,0.0,ENGINEERING ESTIMATE,recovery item 7
G1,"Harness, connectors, gaskets, fasteners",0.68,0.55,0.85,0.6,ENGINEERING ESTIMATE,
G2,Pump motor / magnetic drive (durable),0.52,0.4,0.68,1.1,ENGINEERING ESTIMATE,recovery item 5
G2,Valve actuators (durable),0.34,0.25,0.45,0.7,ENGINEERING ESTIMATE,pinch-valve actuator durable
G2,Flow sensing electronics + air/bubble optics,0.28,0.2,0.38,0.5,ENGINEERING ESTIMATE,
G2,Pressure transducers behind sterile isolation,0.16,0.1,0.24,0.3,ENGINEERING ESTIMATE,
G2,Gas controls + blender + regulator,0.55,0.42,0.72,1.2,ENGINEERING ESTIMATE,incl. sweep pressure regulation
G2,Heater/cooler + thermal-fluid machinery,0.48,0.35,0.65,1.5,ENGINEERING ESTIMATE,blood-side HX is disposable
G2,"Drug pump array (durable drives, 4-6 ch)",1.1,0.85,1.4,2.2,ENGINEERING ESTIMATE,
G2,Cartridge dock/retention + fluidic quick-connects,0.34,0.25,0.45,0.6,ENGINEERING ESTIMATE,
TOTAL,DRY DURABLE CORE,12.42,9.74,15.8,21.3,ENGINEERING ESTIMATE,frozen Rev-A baseline 16-17 kg includes margin + items not yet bottom-up
