req_id,requirement,source,level,evidence_required,current_status,responsible,category
DP2-G01,Direct-to-Phase-II only,darpa.mil topic page,MUST,Phase-I-equivalent feasibility package,OPEN - existential,Eddie/partners,GATE
DP2-G02,Portable battery-operated extracorporeal prototype,topic,MUST,"Photos/designs, configuration, battery-mode test",OPEN - hardware partner required,Partners,GATE
DP2-G03,Blood flow >=2 L/min,topic,MUST,Raw flow/pressure test data,OPEN - partner evidence required,Partners,GATE
DP2-G04,O2 transfer >=75 mL/min,topic,MUST,Direct pre/post-membrane O2-transfer calculation,OPEN - partner evidence required,Partners,GATE
DP2-G05,CO2 removal >=40 mL/min,topic,MUST,Direct pre/post-membrane CO2 measurement,OPEN - partner evidence required,Partners,GATE
DP2-G06,At least one qualifying autonomy capability,topic,MUST,Closed-loop test logs/results,OPEN - no public partner evidence found; NURA wedge,NURA,GATE
DP2-G07,Alt A: maintain SpO2/EtCO2 via flow/sweep/FiO2,topic,one of three,Closed-loop perturbation testing,SELECTED - cheapest bench proof (Artifact 08),NURA,GATE
DP2-G10,Describe current O2 and CO2 performance,topic,MUST,Exact operating envelope and test conditions,OPEN,Partners,GATE
DP2-G11,Direct interface to oxygen source,topic,MUST,Gas-source architecture/test,DESIGNED - source-agnostic common interface (decision 5),NURA,SYS
DP2-G12,"Evidence of max support duration, ideally >72 h",topic,PROPOSE,"Endurance testing, failure modes, consumable swaps",OPEN,Partners,GATE
DP2-G13,"Documentation package (reports, data, designs)",topic,MUST,Indexed technical-data appendix,TO BUILD,NURA,DOC
SYS-01,Fully integrated portable device,topic,MUST,"One controlled platform, not bolted-together equipment",DESIGNED - shared substrate architecture,NURA,SYS
SYS-02,System of systems out of scope,topic,MUST NOT,Shared UI over unrelated boxes is inadequate,"DESIGNED - one machine, explicitly positioned",NURA,SYS
SYS-03,Single central venous cannula,topic,MUST,One access site; jugular or femoral,SPECIFIED,NURA,SYS
SYS-04,Cannula preferably <=15 Fr / 5 mm,topic,PREFERRED,Treat 15 Fr as primary; deviations need justification,SPECIFIED - 15 Fr design objective,Partners,SYS
SYS-06,Minimal patient contact points,topic,MUST,Consolidate sensors and lines,DESIGNED,NURA,SYS
SYS-07,No arterial line preferred,topic,PREFERRED,Noninvasive perfusion-state fusion,DESIGNED - with explicit uncertainty + abstention (decision 11),NURA,SYS
SYS-08,Sensors work in austere military conditions,topic,MUST,"Motion, vibration, temp, light, sweat, power/comms denial",TO VERIFY,NURA,V&V
SYS-09,Circuit supports continuous drugs,topic,MUST,Design description,DESIGNED - return-limb manifold,NURA,SYS
SYS-10,Circuit supports bolus blood/crystalloid,topic,MUST,Design description,DESIGNED,NURA,SYS
SYS-11,Specify integrated safety parameters,topic,MUST,Formal safety envelope/hazard controls,DESIGNED - safety governor + FMEA (Artifact 06),NURA,SYS
SYS-12,Remote monitoring/control,topic,ESSENTIAL,Remote expert can intervene on edge states,"DESIGNED - augmentation, not dependency",NURA,SYS
SYS-14,Autonomous alarm handling / auto-engage expert,topic,MUST,Alarm autonomy is part of product,DESIGNED,NURA,SYS
SYS-15,Display patient state and treatments,topic,MUST,Explainable treatment/audit timeline,DESIGNED - unified display,NURA,SYS
SYS-17,Path to M9-backpack-compatible form,topic,MUST demonstrate potential,SWaP architecture and packaging study,PARTIAL - 2-4 h hop only (O2 mass limits),NURA,SYS
SYS-18,Address SWaP-C3,topic,MUST,Formal SWaP-C3 budget under configuration control,IN PROGRESS - Artifacts 03/04/05,NURA,DOC
PERF-02,Phase-II O2 >=125 mL/min partial support,topic,threshold,Direct O2-transfer evidence,TARGET,Partners,PERF
