id,failure_mode,subsystem,effect,severity,detection,mitigation,verification,confidence_tag
FMEA-001,AIME host compute failure,Autonomy/compute,Loss of supervisory reasoning; therapy continues on last validated policy,High,Safety MCU heartbeat loss -> alarm + controlled hold,AIME isolated from actuators; controllers + MCU continue life support,Fault-injection: kill AIME host during closed-loop support,TARGET
FMEA-002,Safety MCU failure,Safety,Loss of independent veto authority,Critical,Independent hardware watchdog + second alarm path,"Dual-channel MCU, independent clock, hardware inhibit path",Fault-injection at MCU; verify safe state reached,TARGET
FMEA-003,Barometric sensor drift/failure,BEM,"Incorrect flow/volume, EtCO2 and sweep compensation",High,Cross-check between two dissimilar sensors; divergence alarm,Dual dissimilar sensors; divergence >threshold -> conservative default + escalate,Altitude chamber with induced sensor offset,TARGET
FMEA-004,Battery fuel-gauge error,Power,Unexpected loss of power during support,High,Independent BMS per battery; per-pack telemetry,Independent BMS per pack; cross-check; reserve floor triggers conservation mode,Discharge test with induced gauge error,TARGET
FMEA-005,Pump head seizure (thrombus),ECLS,Loss of perfusion; hemolysis risk,Critical,Motor current + flow divergence detection,Durable motor + disposable head; current signature; flow cross-check; alarm,Bench: induced head restriction; animal thrombus model,TARGET
FMEA-006,Membrane lung clot / gas-transfer loss,ECLS,Progressive hypoxemia / hypercapnia,Critical,DP across oxygenator; gas-transfer trend; dead-space index,Trend monitoring; conservation mode; escalation; cartridge replacement decision,Ex-vivo blood loop to exhaustion,TARGET
FMEA-007,Air/bubble entrainment,ECLS,Systemic air embolism,Critical,Ultrasonic + optical air detection upstream of return,Bubble trap; air detector; automatic pump stop on detection,Bench injection at worst-case flow,TARGET
FMEA-008,Single downstream gas component disables both systems,Gas architecture,Ventilation AND ECLS gas exchange lost together,Critical,Independent channel monitoring; pressure/flow per branch,Separate gas paths to vent and oxygenator; no shared single-point downstream,Schematic review + dual-failure bench test,TARGET
FMEA-009,Software alarm engine failure,Alarms,Silent loss of clinician alerting,Critical,"Independent hardware alarm path, separate from software",Software alarm engine + independent critical hardware alarm (distinct hardware),Alarm path fault injection,TARGET
FMEA-010,Sensor freeze/dropout (SpO2/EtCO2/ECG),Acquisition,Wrong physiologic state estimate,High,Discordance detection between redundant/cross-checked channels,Cross-checked perfusion signals; abstention; escalate on discordance,Sensor freeze/drift injection HIL,TARGET
FMEA-011,Cannula recirculation / collapse,Vascular interface,Reduced effective gas exchange; suction events,High,Circuit flow/pressure signature,Recirculation detection; flow limits; suction protection,Bench with modelled recirculation,TARGET
FMEA-012,O2 source depletion,Gas supply,Loss of oxygenation support,Critical,Consumption model vs measured flow; reserve projection,Resource-aware conservation mode; escalation before exhaustion,Timed depletion test,TARGET
FMEA-013,Heater/cooler failure,Thermal,Hypo/hyperthermia excursion,High,Temperature trend + setpoint divergence,Thermal limits in governor; passive mode; alarm,Thermal fault injection,TARGET
FMEA-014,Drug pump occlusion / free-flow,Manifold,Under-dose or overdose of vasopressor/sedative,Critical,Occlusion and anti-free-flow detection; dose accounting,Independent dose accounting; anti-free-flow valves; occlusion detection,Occlusion + free-flow bench test,TARGET
FMEA-015,Enclosure breach / water ingress,Mechanical,Electrical failure; loss of sterility boundary,High,Ingress indicators; insulation monitoring,IP55 sealed; sealed thermal path; no open vents,IP55 + drop + vibration qualification,TARGET
FMEA-016,Litter-rail clamp disengagement,Mechanical,Device falls during casualty movement,Critical,Positive-lock indicator; secondary retention,QD clamps with positive lock + secondary tether,Shock/vibration with instrumented clamp,TARGET
FMEA-017,Wrong-but-legal AIME command (misclassification),Autonomy,Clinically harmful therapy within all numeric limits,Critical,Policy Challenge Engine: counterfactual harm + invariant check,"Differential set, uncertainty, abstention, ensemble disagreement, OOD detection, counterfactual harm analysis",HIL with injected misclassification scenarios,TARGET
FMEA-018,Comms loss (contested EW),Comms,Loss of remote intensivist,Medium,Link heartbeat; auto-escalation attempts,Local autonomy is the baseline; remote is augmentation only,Comms-denied operation test,TARGET
FMEA-019,Loss of external power,Power,Transition to battery during support,Medium,Power-path monitoring,Hot-swap + seamless transition; vehicle/aircraft input,Power interruption test,TARGET
FMEA-020,Cartridge mis-installation,Human factors,No flow / leak on prime,High,Prime self-test; pressure decay check,Keyed connectors; single orientation; prime self-test blocks start,Human-factors trial with medics,TARGET
